代码,股票,分类
*000001,平安银行,银行
*000002,万科A,房地产
*000003,PT金田A,
*000004,国农科技,医药制造
*000005,世纪星源,环保工程
*000006,深振业A,房地产
*000007,全新好,房地产
*000008,神州高铁,交运设备
*000009,中国宝安,房地产
*000010,美丽生态,园林工程
*000011,深物业A,房地产
*000012,南玻A,玻璃陶瓷
*000013,*ST石化A,
*000014,沙河股份,房地产
*000015,PT中浩A,
*000016,深康佳A,家电行业
*000017,深中华A,文教休闲
*000018,神州长城,装修装饰
*000019,深深宝A,食品饮料
*000020,深华发A,电子元件
*000021,深科技,电子信息
*000022,深赤湾A,港口水运
*000023,深天地A,水泥建材
*000024,招商地产,
*000025,特力A,汽车行业
*000026,飞亚达A,珠宝首饰
*000027,深圳能源,公用事业
