date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,9.31,9.76,9.37,8.92,1048546.56,-0.11,-1.16,9.77,10.429,10.008,1010737.96,1037741.95,799430.15
2018-07-05,9.45,9.95,9.48,9.34,1043751.5,0.15,1.61,10.048,10.436,10.062,1052854.6,933824.38,778670.45
2018-07-04,10.25,10.25,9.33,9.33,1157737.5,-1.04,-10.03,10.366,10.346,10.115,1160594.65,829723.95,754572.17
2018-07-03,10.18,10.63,10.38,10.17,823310.25,0.09,0.88,10.862,10.193,10.193,1401525.85,714255.64,714255.64
2018-07-02,10.86,10.97,10.29,10.16,980344.0,-0.47,-4.37,11.07,10.172,10.172,1257008.33,702138.46,702138.46
2018-06-29,10.6,10.95,10.76,10.23,1259129.75,-0.29,-2.62,11.088,10.158,10.158,1064745.94,667362.76,667362.76
2018-06-28,11.39,11.9,11.07,10.8,1582451.75,-0.73,-6.19,10.824,10.071,10.071,814794.17,582824.62,582824.62
2018-06-27,11.9,11.98,11.81,11.03,2362393.5,0.39,3.42,10.326,9.905,9.905,498853.25,416220.1,416220.1
2018-06-26,11.42,11.42,11.42,11.42,100722.67,1.04,10.02,9.524,9.524,9.524,26985.42,26985.42,26985.42
2018-06-25,10.38,10.38,10.38,10.38,19032.04,0.94,9.96,9.05,9.05,9.05,8551.11,8551.11,8551.11
2018-06-22,9.44,9.44,9.44,9.44,9370.87,0.86,10.02,8.607,8.607,8.607,5057.46,5057.46,5057.46
2018-06-21,8.58,8.58,8.58,8.58,2747.19,0.78,10.0,8.19,8.19,8.19,2900.76,2900.76,2900.76
2018-06-20,6.5,7.8,7.8,6.5,3054.33,2.38,43.91,7.8,7.8,7.8,3054.33,3054.33,3054.33
