date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,3.73,3.79,3.74,3.64,58029.86,0.04,1.08,3.814,3.845,4.054,63712.51,60761.09,63882.07
2018-07-05,3.79,3.84,3.7,3.7,48417.36,-0.09,-2.38,3.858,3.854,4.103,68623.95,63247.25,63969.32
2018-07-04,3.92,3.92,3.82,3.8,66164.3,-0.11,-2.8,3.886,3.863,4.155,69039.85,69802.24,64496.56
2018-07-03,3.91,3.94,3.93,3.82,72296.5,0.05,1.29,3.894,3.878,4.196,66693.95,73102.69,62786.8
2018-07-02,3.97,3.98,3.88,3.82,73654.51,-0.08,-2.02,3.884,3.883,4.231,62137.66,78200.26,60768.42
2018-06-29,3.84,3.98,3.96,3.83,82587.1,0.12,3.12,3.876,3.934,4.268,57809.68,74600.01,58974.08
2018-06-28,3.87,3.88,3.84,3.82,50496.82,-0.02,-0.52,3.85,3.987,4.302,57870.55,69867.8,57015.68
2018-06-27,3.88,3.93,3.86,3.84,54434.84,-0.02,-0.52,3.84,4.052,4.338,70564.63,68086.97,57851.82
2018-06-26,3.82,3.9,3.88,3.75,49515.04,0.04,1.04,3.862,4.122,4.381,79511.43,66917.05,57314.63
2018-06-25,3.86,3.89,3.84,3.83,52014.6,0.01,0.26,3.882,4.187,4.424,94262.85,65338.05,58874.83
2018-06-22,3.77,3.88,3.83,3.72,82891.44,0.04,1.05,3.992,4.263,4.475,91390.33,67003.05,59201.3
2018-06-21,3.97,3.99,3.79,3.7,113967.24,-0.18,-4.53,4.124,4.351,4.529,81865.04,64691.39,57847.99
2018-06-20,3.99,4.03,3.97,3.9,99168.83,-0.01,-0.25,4.264,4.446,4.587,65609.31,59190.89,55687.74
2018-06-19,4.3,4.35,3.98,3.95,123272.14,-0.41,-9.34,4.382,4.514,4.638,54322.67,52470.9,52777.41
2018-06-15,4.48,4.51,4.39,4.38,37652.0,-0.1,-2.23,4.492,4.579,4.69,36413.24,43336.59,49590.85
2018-06-14,4.45,4.56,4.49,4.45,35265.0,0.0,0.0,4.534,4.602,4.718,42615.77,43348.16,49263.74
2018-06-13,4.56,4.56,4.49,4.49,32688.6,-0.07,-1.53,4.578,4.616,4.739,47517.73,44163.56,49226.36
2018-06-12,4.54,4.58,4.56,4.47,42735.61,0.03,0.66,4.628,4.624,4.761,52772.46,47616.66,49500.04
2018-06-11,4.61,4.61,4.53,4.52,33725.0,-0.07,-1.52,4.646,4.64,4.781,50619.13,47712.22,48823.31
2018-06-08,4.72,4.72,4.6,4.57,68664.65,-0.11,-2.33,4.666,4.66,4.801,50259.93,52411.61,48960.45
2018-06-07,4.73,4.76,4.71,4.69,59774.81,-0.03,-0.63,4.67,4.686,4.819,44080.56,51399.55,47981.52
2018-06-06,4.64,4.8,4.74,4.62,58962.21,0.09,1.94,4.654,4.706,4.835,40809.39,51004.59,47980.08
2018-06-05,4.62,4.65,4.65,4.61,31969.0,0.02,0.43,4.62,4.727,4.849,42460.86,52184.59,47446.27
2018-06-04,4.66,4.67,4.63,4.6,31929.0,0.01,0.22,4.634,4.761,4.866,44805.3,53083.91,48873.25
2018-06-01,4.62,4.66,4.62,4.6,37767.76,-0.01,-0.22,4.654,4.8,4.884,54563.29,55845.12,49962.79
2018-05-31,4.6,4.63,4.63,4.57,43419.0,0.06,1.31,4.702,4.834,4.899,58718.55,55179.32,49345.67
2018-05-30,4.68,4.68,4.57,4.56,67219.53,-0.15,-3.18,4.758,4.862,4.914,61199.79,54289.16,49123.89
2018-05-29,4.74,4.77,4.72,4.7,43691.2,-0.01,-0.21,4.834,4.897,4.931,61908.33,51383.43,48306.95
2018-05-28,4.86,4.86,4.73,4.7,80718.97,-0.13,-2.67,4.888,4.921,4.943,61362.53,49934.4,48466.05
