date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,16.46,16.78,16.6,15.88,5058.25,0.29,1.78,16.844,16.978,17.76,4296.17,4163.69,5172.11
2018-07-05,16.51,17.0,16.43,16.22,4040.8,-0.49,-2.9,16.984,16.998,17.957,4383.28,4098.82,5203.73
2018-07-04,17.31,17.37,16.99,16.82,4086.4,-0.33,-1.91,17.106,16.992,18.187,4326.68,4234.2,5304.23
2018-07-03,16.8,17.36,17.32,16.8,4473.8,0.44,2.61,17.128,17.01,18.38,4187.32,4319.0,5385.24
2018-07-02,17.26,17.5,16.88,16.67,3821.6,-0.46,-2.65,17.104,16.94,18.542,4164.8,5117.22,5409.51
2018-06-29,16.99,17.49,17.3,16.85,5493.8,0.37,2.19,17.112,17.096,18.736,4031.2,5352.86,5600.52
2018-06-28,17.37,17.37,17.04,16.72,3757.8,-0.11,-0.64,17.012,17.316,18.915,3814.36,5329.04,5724.91
2018-06-27,17.28,17.45,17.1,17.03,3389.6,-0.11,-0.64,16.878,17.567,19.076,4141.72,5592.36,6277.15
2018-06-26,16.01,17.27,17.2,16.01,4361.2,0.35,2.08,16.892,17.894,19.324,4450.68,5744.16,6597.52
2018-06-25,17.38,17.38,16.92,16.7,3153.6,0.12,0.71,16.776,18.213,19.579,6069.64,5912.62,7203.24
2018-06-22,16.11,17.17,16.8,16.03,4409.6,0.43,2.63,17.08,18.541,19.868,6674.52,6180.54,8330.67
2018-06-21,17.14,17.42,16.37,16.01,5394.6,-0.77,-4.49,17.62,18.916,20.144,6843.72,6308.64,8661.19
2018-06-20,16.66,17.45,17.17,16.31,4934.4,0.51,3.06,18.256,19.382,20.889,7043.0,6374.26,9140.01
2018-06-19,18.12,18.43,16.62,16.61,12456.0,-1.83,-9.92,18.896,19.75,21.637,7037.64,6451.48,9828.14
2018-06-15,19.48,19.78,18.44,18.01,6178.0,-1.04,-5.34,19.65,20.143,22.351,5755.6,5701.8,9761.49
2018-06-14,19.2,19.79,19.5,19.2,5255.6,-0.05,-0.26,20.002,20.375,22.931,5686.56,5848.18,9881.74
2018-06-13,20.38,20.38,19.55,19.5,6391.0,-0.83,-4.07,20.212,20.514,23.467,5773.56,6120.78,10058.71
2018-06-12,20.39,20.7,20.37,19.7,4907.6,0.0,0.0,20.508,20.585,23.973,5705.52,6961.94,9958.46
2018-06-11,20.22,20.85,20.39,20.22,6045.8,0.19,0.94,20.604,20.754,24.457,5865.32,7450.88,10025.63
2018-06-08,20.52,20.52,20.2,20.08,5832.8,-0.4,-1.94,20.636,20.945,24.917,5648.0,8493.86,9961.09
2018-06-07,21.18,21.46,20.55,20.48,5690.6,-0.52,-2.47,20.748,21.195,25.387,6009.8,10480.81,9957.1
2018-06-06,21.0,21.3,21.03,20.75,6050.8,0.18,0.86,20.816,21.372,25.866,6468.0,11013.75,9983.27
2018-06-05,20.5,20.98,20.85,20.5,5706.6,0.26,1.26,20.662,22.395,26.32,8218.36,11905.77,10024.68
2018-06-04,20.75,20.88,20.55,20.5,4959.2,-0.2,-0.96,20.904,23.523,26.776,9036.44,13204.81,10145.85
2018-06-01,20.74,21.21,20.76,20.57,7641.8,-0.13,-0.62,21.254,24.559,27.219,11339.72,13821.19,10147.64
2018-05-31,20.6,20.94,20.89,19.93,7981.6,0.58,2.86,21.642,25.487,27.63,14951.81,13915.31,9971.05
2018-05-30,21.9,21.9,20.26,19.89,14802.6,-1.84,-8.33,21.928,26.419,28.034,15559.49,13996.65,9836.07
2018-05-29,22.1,22.6,22.06,22.06,9797.0,-0.23,-1.03,24.128,27.361,28.45,15593.17,12954.99,9237.74
2018-05-28,22.67,22.79,22.3,22.2,16475.6,-0.37,-1.63,26.142,28.159,28.787,17373.17,12600.39,8930.89
2018-05-25,22.08,23.28,22.7,22.08,25702.25,0.37,1.66,27.864,28.889,29.11,16302.65,11428.33,8364.16
2018-05-24,21.39,23.11,22.32,21.39,11020.0,0.08,0.36,29.332,29.578,29.443,12878.8,9433.4,7495.55
2018-05-23,31.86,32.39,31.26,31.24,14971.0,-0.84,-2.62,30.91,30.359,29.772,12433.8,8952.8,7252.1
2018-05-22,30.81,32.7,32.13,30.6,18697.0,1.21,3.91,30.594,30.245,29.601,10316.8,8143.6,6706.15
2018-05-21,30.43,31.24,30.91,30.31,11123.0,0.69,2.28,30.176,30.028,29.402,7827.6,7086.9,6118.6
2018-05-18,30.02,30.5,30.04,29.89,8583.0,-0.21,-0.69,29.914,29.879,29.301,6554.0,6474.1,5837.8
2018-05-17,30.0,30.5,30.21,29.8,8795.0,0.54,1.82,29.824,29.772,29.274,5988.0,6026.8,5927.5
2018-05-16,29.97,30.15,29.68,29.63,4386.0,-0.37,-1.23,29.808,29.648,29.181,5471.8,5675.5,6123.8
2018-05-15,29.0,30.1,30.04,29.0,6251.0,0.47,1.59,29.896,29.538,29.197,5970.4,5520.5,6596.6
2018-05-14,29.49,30.2,29.6,29.31,4755.0,0.04,0.14,29.88,29.414,29.203,6346.2,5261.4,6924.35
2018-05-11,30.07,30.3,29.59,29.51,5753.0,-0.56,-1.86,29.844,29.331,29.229,6394.2,5300.0,7436.85
2018-05-10,30.1,30.5,30.13,30.0,6214.0,0.03,0.1,29.72,29.308,29.266,6065.6,5557.7,8442.75
2018-05-09,29.95,30.58,30.12,29.68,6879.0,0.17,0.57,29.488,29.185,29.215,5879.2,5551.4,8690.5
2018-05-08,29.42,30.05,29.96,29.26,8130.0,0.54,1.83,29.18,28.956,29.186,5070.6,5268.7,8948.0
2018-05-07,28.59,29.52,29.42,28.59,4995.0,0.5,1.73,28.948,28.776,29.17,4176.6,5150.3,9339.9
2018-05-04,28.94,29.14,28.97,28.71,4110.0,0.02,0.07,28.818,28.722,29.162,4205.8,5201.5,9625.85
2018-05-03,28.57,28.98,28.97,27.66,5282.0,0.4,1.4,28.896,28.775,29.183,5049.8,5828.2,10334.75
2018-05-02,28.79,29.08,28.58,28.38,2836.0,-0.21,-0.73,28.882,28.714,29.21,5223.6,6572.1,11317.2
2018-04-27,28.92,29.01,28.8,28.58,3660.0,0.01,0.04,28.732,28.856,29.263,5466.8,7672.7,12226.4
2018-04-26,29.37,29.37,28.77,28.71,5141.0,-0.6,-2.04,28.604,28.992,29.288,6124.0,8587.3,13471.25
2018-04-25,28.75,29.57,29.36,28.54,8330.0,0.47,1.63,28.626,29.127,29.395,6197.2,9573.7,15622.8
2018-04-24,27.71,28.92,28.9,27.7,6151.0,1.11,3.99,28.654,29.224,29.401,6606.6,11327.8,18278.8
2018-04-23,27.95,28.32,27.83,27.32,4052.0,-0.38,-1.35,28.546,29.244,29.39,7920.6,11829.6,19102.75
2018-04-20,28.97,28.97,28.16,28.07,6946.0,-0.75,-2.59,28.98,29.415,29.427,9878.6,12627.3,19395.1
2018-04-19,29.25,29.65,28.88,28.7,5507.0,-0.63,-2.13,29.38,29.563,29.411,11050.6,13529.5,19501.2
2018-04-18,28.57,29.79,29.5,27.51,10377.0,1.24,4.39,29.628,29.602,29.371,12950.2,14050.2,19694.0
2018-04-17,29.91,30.2,28.36,28.15,12721.0,-1.55,-5.18,29.794,29.591,29.296,16049.0,14841.3,19597.5
2018-04-16,30.17,30.78,30.0,29.51,13842.0,-0.17,-0.56,29.942,29.705,29.222,15738.6,16062.3,19365.3
2018-04-13,30.16,30.45,30.16,29.78,12806.0,0.03,0.1,29.85,29.67,29.046,15376.0,16780.1,19315.05
2018-04-12,30.33,30.7,30.12,29.92,15005.0,-0.19,-0.63,29.746,29.584,28.921,16008.4,18355.2,19174.65
2018-04-11,29.36,30.5,30.33,29.36,25871.0,1.22,4.19,29.576,29.662,28.787,15150.2,21671.9,18815.2
2018-04-10,29.4,29.6,29.1,28.62,11169.0,-0.39,-1.32,29.388,29.577,28.682,13633.6,25229.8,18031.65
2018-04-09,29.28,29.59,29.54,28.88,12029.0,-0.1,-0.34,29.468,29.536,28.617,16386.0,26375.9,17912.7
2018-04-04,29.34,29.9,29.64,28.81,15968.0,0.38,1.3,29.49,29.439,28.495,18184.2,26162.9,17799.15
2018-04-03,29.0,29.33,29.27,28.56,10714.0,-0.08,-0.27,29.422,29.259,28.337,20702.0,25472.9,17387.8
2018-04-02,29.35,29.72,29.39,29.06,18288.0,-0.12,-0.41,29.748,29.139,28.189,28193.59,25337.8,17263.4
2018-03-30,29.52,29.85,29.5,28.98,24931.0,-0.14,-0.47,29.766,29.0,28.014,36825.99,24353.7,16680.15
2018-03-29,29.24,29.8,29.65,28.8,21020.0,0.23,0.78,29.604,28.738,27.803,36365.79,22668.3,15692.05
2018-03-28,30.07,30.62,29.3,29.3,28557.0,-1.59,-5.15,29.388,28.421,27.595,34141.59,21850.0,14920.65
2018-03-27,28.57,31.3,30.9,28.57,48171.97,1.34,4.53,29.096,28.257,27.385,30243.79,19994.1,13827.8
2018-03-26,29.78,30.77,29.48,28.88,61450.0,0.92,3.22,28.53,27.912,27.118,22482.0,15958.5,11746.75
2018-03-23,27.95,28.69,28.69,26.19,22630.0,0.13,0.46,28.234,27.787,26.924,11881.4,10833.5,9121.35
2018-03-22,27.61,28.58,28.57,27.61,9899.0,0.73,2.62,27.872,27.697,26.728,8970.8,9449.5,8261.7
2018-03-21,28.08,28.65,27.84,27.39,9068.0,-0.25,-0.89,27.454,27.551,26.517,9558.4,9435.4,7949.35
2018-03-20,27.89,28.53,28.07,27.52,9363.0,0.07,0.25,27.418,27.415,26.325,9744.4,9302.7,7728.4
2018-03-19,26.99,28.14,28.0,26.88,8447.0,1.14,4.24,27.294,27.238,26.134,9435.0,9189.0,7604.4
2018-03-16,26.4,27.29,26.88,26.26,8077.0,0.32,1.21,27.34,27.027,25.941,9785.6,9006.6,7488.05
2018-03-15,27.47,27.48,26.48,25.85,12837.0,-1.2,-4.33,27.522,26.867,25.763,9928.2,8715.8,7548.22
2018-03-14,27.18,27.97,27.66,27.18,9998.0,0.19,0.69,27.648,26.768,25.659,9312.4,7991.3,7320.97
2018-03-13,28.24,28.27,27.45,27.44,7816.0,-0.79,-2.8,27.412,26.513,25.478,8861.0,7661.5,7418.77
2018-03-12,27.8,28.67,28.23,27.74,10200.0,0.45,1.62,27.182,26.324,25.279,8943.0,7535.0,7581.67
2018-03-09,27.0,27.97,27.79,26.99,8790.0,0.67,2.47,26.714,26.061,25.171,8227.6,7409.2,7397.22
2018-03-08,26.3,27.18,27.11,26.3,9758.0,0.65,2.46,26.212,25.759,25.102,7503.4,7073.9,7314.32
2018-03-07,26.21,26.59,26.48,26.01,7741.0,0.2,0.76,25.888,25.483,25.09,6670.2,6463.3,7391.27
2018-03-06,25.85,26.66,26.3,25.85,8226.0,0.42,1.62,25.614,25.235,25.2,6462.0,6154.1,7591.42
2018-03-05,25.34,25.9,25.89,25.25,6623.0,0.58,2.29,25.466,25.029,25.366,6127.0,6019.8,7505.12
2018-03-02,25.42,25.72,25.28,25.23,5169.0,-0.21,-0.82,25.408,24.855,25.556,6590.8,5969.5,7747.07
2018-03-01,25.0,25.55,25.49,24.9,5592.0,0.39,1.55,25.306,24.659,25.805,6644.4,6380.63,7885.42
2018-02-28,25.38,25.45,25.11,24.92,6700.0,-0.44,-1.72,25.078,24.549,26.063,6256.4,6650.63,8093.62
2018-02-27,25.58,25.81,25.56,25.42,6551.0,-0.06,-0.23,24.856,24.442,26.372,5846.2,7176.03,8531.12
2018-02-26,24.97,25.64,25.6,24.97,8942.0,0.84,3.39,24.592,24.234,26.696,5912.6,7628.33,9699.32
2018-02-23,24.4,24.87,24.77,24.26,5437.0,0.43,1.77,24.302,24.28,26.953,5348.2,7385.23,9633.27
2018-02-22,24.02,24.66,24.35,24.02,3652.0,0.36,1.5,24.012,24.444,27.239,6116.86,7554.73,9904.32
2018-02-14,24.26,24.43,24.0,23.87,4649.0,-0.26,-1.07,24.02,24.697,27.57,7044.86,8319.23,10330.13
2018-02-13,24.15,24.59,24.24,24.13,6883.0,0.12,0.5,24.028,25.165,27.902,8505.86,9028.73,10558.13
2018-02-12,23.47,24.4,24.15,23.47,6120.0,0.8,3.43,23.876,25.702,28.183,9344.06,8990.43,10572.78
2018-02-09,23.86,24.17,23.32,23.0,9280.31,-1.07,-4.39,24.258,26.256,28.439,9422.26,9524.63,10607.78
2018-02-08,23.89,24.57,24.39,23.89,8292.0,0.37,1.54,24.876,26.951,28.791,8992.6,9390.2,10405.57
2018-02-07,24.01,24.5,24.04,23.22,11954.0,0.57,2.43,25.374,27.577,29.104,9593.6,9536.6,10330.72
2018-02-06,25.5,25.86,23.48,23.46,11074.0,-2.59,-9.94,26.302,28.302,29.403,9551.6,9886.2,10049.92
2018-02-05,26.17,26.55,26.06,26.0,6511.0,-0.36,-1.36,27.528,29.158,29.766,8636.8,11770.3,9811.87
