date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,6.02,6.08,5.85,5.67,95012.0,-0.18,-2.98,6.374,6.689,6.816,101116.26,107880.36,106147.22
2018-07-05,6.58,6.59,6.03,6.0,107224.22,-0.55,-8.36,6.65,6.779,6.871,111387.02,106521.1,106895.45
2018-07-04,6.68,6.74,6.58,6.51,69901.8,-0.14,-2.08,6.884,6.823,6.932,118071.42,103970.18,107620.97
2018-07-03,6.68,6.77,6.72,6.48,87768.78,0.03,0.45,6.954,6.841,6.958,125672.66,104910.58,109140.37
2018-07-02,6.99,7.16,6.69,6.52,145674.48,-0.54,-7.47,6.97,6.834,6.972,129086.76,108144.96,110737.14
2018-06-29,7.18,7.34,7.23,7.02,146365.81,0.03,0.42,7.004,6.904,7.003,114644.46,106641.36,109375.37
2018-06-28,7.01,7.33,7.2,6.94,140646.23,0.27,3.9,6.908,6.906,7.021,101655.18,105480.83,108362.24
2018-06-27,6.81,7.1,6.93,6.78,107907.98,0.13,1.91,6.762,6.901,7.025,89868.93,101388.84,109135.14
2018-06-26,6.64,6.92,6.8,6.63,104839.3,-0.06,-0.88,6.728,6.919,7.074,84148.51,100378.94,108983.98
2018-06-25,6.75,6.98,6.86,6.75,73463.0,0.11,1.63,6.698,6.949,7.129,87203.15,103017.25,112663.09
2018-06-22,6.4,6.78,6.75,6.33,81419.38,0.28,4.33,6.804,6.943,7.209,98638.26,104414.07,117088.79
2018-06-21,6.71,6.91,6.47,6.45,81715.0,-0.29,-4.29,6.904,6.963,7.306,109306.48,107269.81,123963.69
2018-06-20,6.6,6.88,6.76,6.57,79305.86,0.11,1.65,7.04,7.04,7.4,112908.75,111271.76,132602.9
2018-06-19,7.06,7.2,6.65,6.65,120112.53,-0.74,-10.01,7.11,7.075,7.489,116609.38,113370.15,151675.21
2018-06-15,7.19,7.43,7.39,7.16,130638.53,0.14,1.93,7.2,7.109,7.609,118831.34,113329.33,176541.4
2018-06-14,7.13,7.43,7.25,7.1,134760.5,0.1,1.4,7.082,7.102,7.651,110189.88,112109.37,178372.72
2018-06-13,7.05,7.29,7.15,7.01,99726.32,0.04,0.56,7.022,7.135,7.693,105233.13,111243.65,180105.12
2018-06-12,7.0,7.19,7.11,6.85,97809.0,0.01,0.14,7.04,7.149,7.736,109634.77,116881.43,180852.41
2018-06-11,6.77,7.35,7.1,6.71,131222.33,0.3,4.41,7.04,7.228,7.776,110130.92,117589.02,180411.89
