date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,3.64,3.7,3.66,3.58,41854.0,0.02,0.55,3.7,3.717,3.797,40799.63,46980.76,45511.97
2018-07-05,3.75,3.76,3.64,3.64,31465.0,-0.11,-2.93,3.72,3.716,3.821,41806.83,46950.36,45306.15
2018-07-04,3.75,3.79,3.75,3.69,32579.81,-0.02,-0.53,3.726,3.708,3.85,41568.85,48682.25,45300.36
2018-07-03,3.68,3.8,3.77,3.67,59822.32,0.09,2.45,3.722,3.695,3.874,43815.83,49749.29,45872.86
2018-07-02,3.75,3.78,3.68,3.65,38277.0,-0.08,-2.13,3.722,3.672,3.893,47711.41,52275.73,44374.24
2018-06-29,3.68,3.77,3.76,3.66,46890.04,0.09,2.45,3.734,3.694,3.915,53161.88,53656.68,44117.98
2018-06-28,3.71,3.77,3.67,3.65,30275.1,-0.06,-1.61,3.712,3.722,3.934,52093.89,52464.55,43580.57
2018-06-27,3.72,3.79,3.73,3.7,43814.7,-0.04,-1.06,3.69,3.761,3.955,55795.65,52879.85,45452.59
2018-06-26,3.9,3.9,3.77,3.69,79300.22,0.03,0.8,3.668,3.804,3.98,55682.75,51691.91,45218.24
2018-06-25,3.68,3.76,3.74,3.65,65529.36,0.09,2.47,3.622,3.84,4.006,56840.05,46798.02,43551.72
2018-06-22,3.55,3.68,3.65,3.53,41550.08,0.09,2.53,3.654,3.877,4.037,54151.48,44043.18,42682.54
2018-06-21,3.62,3.72,3.56,3.56,48783.9,-0.06,-1.66,3.732,3.926,4.075,52835.2,43661.95,43651.56
2018-06-20,3.53,3.65,3.62,3.51,43250.2,0.08,2.26,3.832,3.991,4.119,49964.05,41918.48,44784.57
2018-06-19,3.89,3.89,3.54,3.51,85086.7,-0.36,-9.23,3.94,4.053,4.162,47701.07,41996.42,49577.7
2018-06-15,4.03,4.05,3.9,3.84,52086.5,-0.14,-3.46,4.058,4.113,4.206,36755.99,36472.75,49604.63
2018-06-14,4.03,4.09,4.04,4.01,34968.7,-0.02,-0.49,4.1,4.135,4.232,33934.88,34579.27,52337.06
2018-06-13,4.16,4.16,4.06,4.06,34428.16,-0.1,-2.4,4.12,4.146,4.245,34488.69,34696.59,52388.69
2018-06-12,4.14,4.17,4.16,4.1,31935.31,0.03,0.73,4.15,4.148,4.258,33872.9,38025.32,52543.62
2018-06-11,4.1,4.16,4.13,4.08,30361.28,0.02,0.49,4.166,4.156,4.268,36291.77,38744.56,53344.57
2018-06-08,4.15,4.15,4.11,4.05,37980.95,-0.03,-0.72,4.168,4.171,4.278,36189.51,40305.42,53840.67
2018-06-07,4.2,4.22,4.14,4.13,37737.76,-0.07,-1.66,4.17,4.197,4.289,35223.66,41321.89,54057.01
2018-06-06,4.23,4.23,4.21,4.17,31349.2,-0.03,-0.71,4.172,4.224,4.302,34904.5,43641.17,54537.24
2018-06-05,4.15,4.24,4.24,4.14,44029.66,0.1,2.42,4.146,4.246,4.312,42177.74,47650.66,55205.84
2018-06-04,4.14,4.16,4.14,4.12,29850.0,0.02,0.48,4.146,4.271,4.32,41197.36,57158.99,56968.76
2018-06-01,4.13,4.17,4.12,4.1,33151.7,-0.03,-0.72,4.174,4.299,4.331,44421.32,62736.5,59753.13
2018-05-31,4.1,4.16,4.15,4.09,36141.92,0.07,1.72,4.224,4.329,4.338,47420.12,70094.86,60124.66
2018-05-30,4.2,4.2,4.08,4.05,67715.42,-0.16,-3.77,4.276,4.343,4.344,52377.84,70080.78,60902.37
2018-05-29,4.29,4.3,4.24,4.23,39127.75,-0.04,-0.94,4.346,4.367,4.351,53123.58,67061.93,59974.0
2018-05-28,4.35,4.37,4.28,4.27,45969.8,-0.09,-2.06,4.396,4.38,4.35,73120.62,67944.58,60481.76
2018-05-25,4.45,4.45,4.37,4.35,48145.72,-0.04,-0.91,4.424,4.385,4.346,81051.68,67375.93,60855.92
2018-05-24,4.44,4.48,4.41,4.39,60930.5,-0.02,-0.45,4.434,4.381,4.339,92769.59,66792.13,62878.85
2018-05-23,4.47,4.49,4.43,4.42,71444.11,-0.06,-1.34,4.41,4.38,4.327,87783.72,65433.32,62305.74
2018-05-22,4.42,4.51,4.49,4.41,139112.95,0.07,1.58,4.388,4.377,4.31,81000.27,62761.02,60898.18
2018-05-21,4.42,4.44,4.42,4.38,85625.12,0.0,0.0,4.364,4.368,4.29,62768.55,56778.52,56822.86
2018-05-18,4.28,4.45,4.42,4.27,106735.27,0.13,3.03,4.346,4.362,4.279,53700.17,56769.75,55436.85
2018-05-17,4.31,4.33,4.29,4.27,36001.13,-0.03,-0.69,4.328,4.346,4.267,40814.68,50154.47,53650.21
2018-05-16,4.36,4.37,4.32,4.31,37526.9,-0.05,-1.14,4.35,4.344,4.26,43082.92,51723.96,55272.09
2018-05-15,4.34,4.38,4.37,4.3,47954.31,0.04,0.92,4.366,4.334,4.255,44521.76,52886.07,56273.7
2018-05-14,4.33,4.35,4.33,4.31,40283.24,0.0,0.0,4.372,4.32,4.251,50788.5,53018.93,57513.44
2018-05-11,4.41,4.41,4.33,4.32,42307.8,-0.07,-1.59,4.378,4.306,4.253,59839.33,54335.92,58172.21
2018-05-10,4.38,4.41,4.4,4.37,47342.35,0.0,0.0,4.364,4.297,4.256,59494.26,58965.57,60275.7
2018-05-09,4.39,4.41,4.4,4.36,44721.12,0.0,0.0,4.338,4.273,4.255,60365.0,59178.16,60740.27
2018-05-08,4.36,4.42,4.4,4.33,79288.0,0.04,0.92,4.302,4.242,4.255,61250.38,59035.33,62308.22
2018-05-07,4.26,4.38,4.36,4.25,85537.4,0.1,2.35,4.268,4.212,4.251,55249.36,56867.2,62974.77
2018-05-04,4.25,4.28,4.26,4.24,40582.44,-0.01,-0.23,4.234,4.195,4.253,48832.5,54103.94,63743.4
2018-05-03,4.2,4.27,4.27,4.17,51696.06,0.05,1.19,4.23,4.188,4.261,58436.88,57145.94,65617.47
