date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,19.8,20.2,19.9,19.2,75992.72,0.17,0.86,20.906,21.011,22.502,101532.76,88577.13,85439.06
2018-07-05,20.8,21.35,19.74,19.68,74460.02,-1.33,-6.31,21.18,21.121,22.845,105946.15,90080.0,87502.38
2018-07-04,21.6,21.85,21.07,20.83,75395.5,-0.81,-3.7,21.37,21.211,23.23,103935.65,92649.44,93950.69
2018-07-03,21.5,21.97,21.88,20.78,110019.27,-0.08,-0.36,21.392,21.331,23.498,103224.38,93547.16,93724.65
2018-07-02,21.29,22.73,21.94,21.25,171796.3,0.67,3.15,21.276,21.35,23.71,96708.13,92212.9,91333.73
2018-06-29,20.54,21.48,21.27,20.19,98059.67,0.58,2.8,21.116,21.608,23.922,75621.49,81860.1,88691.76
2018-06-28,21.07,21.5,20.69,20.68,64407.51,-0.48,-2.27,21.062,21.992,24.145,74213.84,77593.21,88138.5
2018-06-27,21.43,21.75,21.18,21.05,71839.16,-0.1,-0.47,21.052,22.481,24.379,81363.23,79379.24,91904.06
2018-06-26,20.78,21.48,21.3,20.27,77438.02,0.17,0.81,21.27,22.998,24.669,83869.94,80901.64,95253.43
2018-06-25,21.02,21.5,21.14,20.96,66363.11,0.13,0.62,21.424,23.458,25.008,87717.67,81498.2,99322.63
2018-06-22,20.61,21.51,21.0,20.05,91021.41,0.36,1.74,22.1,23.992,25.35,88098.71,82300.99,102100.26
2018-06-21,21.99,22.45,20.64,20.44,100154.46,-1.63,-7.32,22.922,24.568,25.718,80972.57,84924.77,104756.87
2018-06-20,21.56,22.61,22.27,21.41,84372.7,0.2,0.91,23.91,25.248,26.109,77395.24,95251.95,111502.37
2018-06-19,24.01,24.02,22.07,22.07,96676.69,-2.45,-9.99,24.726,25.664,26.473,77933.33,93902.14,128063.14
2018-06-15,25.0,25.49,24.52,24.5,68268.28,-0.58,-2.31,25.492,26.07,26.794,75278.73,90454.55,137303.01
2018-06-14,25.5,25.87,25.11,24.88,55390.73,-0.45,-1.76,25.884,26.236,26.991,76503.28,95523.42,151353.38
2018-06-13,26.04,26.04,25.58,25.53,82267.79,-0.76,-2.88,26.214,26.297,27.095,88876.96,98683.79,155695.12
2018-06-12,25.9,26.57,26.35,25.61,87063.16,0.45,1.74,26.586,26.276,27.19,113108.65,104428.88,160840.6
2018-06-11,26.3,26.49,25.9,25.52,83403.71,-0.59,-2.23,26.602,26.34,27.234,109870.96,109605.23,161851.84
2018-06-08,26.77,26.98,26.48,26.37,74391.0,-0.28,-1.05,26.648,26.558,27.3,105630.36,117147.06,163577.11
2018-06-07,26.91,27.39,26.76,26.7,117259.15,-0.68,-2.48,26.588,26.707,27.323,114543.56,121899.53,166736.64
2018-06-06,26.46,28.49,27.44,26.21,203426.25,1.02,3.86,26.38,26.868,27.373,108490.61,124588.98,168726.6
2018-06-05,26.16,26.56,26.43,26.03,70874.68,0.32,1.23,25.966,26.97,27.392,95749.1,127752.8,174410.08
