date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,4.16,4.24,4.17,4.03,34895.59,-0.01,-0.24,4.296,4.278,4.507,41027.27,35248.19,36244.52
2018-07-05,4.28,4.32,4.18,4.17,24090.01,-0.1,-2.34,4.326,4.286,4.565,40149.98,34226.1,35486.21
2018-07-04,4.44,4.44,4.27,4.25,39869.01,-0.18,-4.04,4.328,4.287,4.622,40955.8,35073.1,35162.26
2018-07-03,4.48,4.48,4.44,4.35,35908.08,0.01,0.23,4.322,4.297,4.677,39518.49,35372.89,34188.79
2018-07-02,4.32,4.61,4.42,4.32,70373.66,0.1,2.31,4.286,4.286,4.723,38081.43,40887.81,33567.56
2018-06-29,4.2,4.33,4.32,4.2,30509.13,0.13,3.1,4.26,4.326,4.77,29469.1,37721.36,31065.45
2018-06-28,4.24,4.27,4.19,4.16,28119.13,-0.05,-1.18,4.246,4.391,4.822,28302.21,36681.19,30561.94
2018-06-27,4.28,4.31,4.24,4.21,32682.44,-0.03,-0.7,4.246,4.472,4.878,29190.4,37881.2,31067.03
2018-06-26,4.25,4.3,4.26,4.14,28722.81,-0.04,-0.93,4.272,4.561,4.943,31227.29,36669.96,30688.23
2018-06-25,4.3,4.34,4.29,4.25,27312.0,0.04,0.94,4.286,4.646,5.005,43694.18,36407.58,30981.16
2018-06-22,4.19,4.29,4.25,4.15,24674.68,0.06,1.43,4.392,4.736,5.075,45973.62,37240.85,30771.84
2018-06-21,4.36,4.39,4.19,4.19,32560.07,-0.17,-3.9,4.536,4.843,5.15,45060.17,36746.32,30836.79
2018-06-20,4.28,4.4,4.37,4.18,42866.87,0.04,0.92,4.698,4.956,5.229,46571.99,35251.41,30408.29
2018-06-19,4.67,4.78,4.33,4.33,91057.3,-0.48,-9.98,4.85,5.056,5.302,42112.63,33004.68,29767.71
2018-06-15,4.97,4.99,4.82,4.74,38709.2,-0.15,-3.02,5.006,5.159,5.38,29120.97,26247.31,27646.36
2018-06-14,5.0,5.04,4.97,4.96,20107.4,-0.02,-0.4,5.08,5.214,5.424,28508.07,24409.53,26623.34
2018-06-13,5.08,5.12,5.0,4.99,40119.2,-0.12,-2.34,5.15,5.253,5.458,28432.47,24442.69,26623.47
2018-06-12,5.11,5.15,5.13,5.06,20570.05,0.03,0.59,5.214,5.283,5.492,23930.83,24252.87,25630.26
2018-06-11,5.2,5.24,5.11,5.08,26099.0,-0.09,-1.73,5.262,5.325,5.521,23896.74,24706.51,25634.84
2018-06-08,5.35,5.35,5.19,5.15,35644.68,-0.12,-2.26,5.312,5.364,5.55,23373.66,25554.73,27120.37
2018-06-07,5.32,5.35,5.32,5.29,19729.41,0.0,0.0,5.348,5.413,5.583,20311.0,24302.84,26534.6
2018-06-06,5.35,5.37,5.32,5.3,17611.0,-0.01,-0.19,5.356,5.457,5.611,20452.91,24927.26,27121.36
2018-06-05,5.35,5.38,5.37,5.33,20399.6,0.01,0.19,5.352,5.501,5.64,24574.9,25565.16,27778.45
2018-06-04,5.35,5.4,5.36,5.34,23483.6,0.0,0.0,5.388,5.548,5.668,25516.28,26530.74,28940.87
2018-06-01,5.39,5.43,5.37,5.32,20331.37,0.01,0.19,5.416,5.6,5.691,27735.81,29045.41,29707.37
2018-05-31,5.38,5.42,5.36,5.32,20439.0,0.06,1.13,5.478,5.633,5.71,28294.67,28837.15,30041.24
2018-05-30,5.48,5.48,5.3,5.28,38220.95,-0.25,-4.5,5.558,5.662,5.73,29401.6,28804.25,31774.29
2018-05-29,5.54,5.61,5.55,5.53,25106.49,0.04,0.73,5.65,5.701,5.753,26555.42,27007.66,32248.47
2018-05-28,5.67,5.68,5.5,5.5,34581.23,-0.17,-3.0,5.708,5.717,5.767,27545.19,26563.18,34781.19
